trial,reached,attempts,days,best_score
1,True,459,51.0,184.3
2,True,952,105.778,180.0
3,True,1203,133.667,180.8
4,True,669,74.333,182.8
5,True,500,55.556,182.1
6,True,380,42.222,190.4
7,True,1237,137.444,184.6
8,True,191,21.222,184.2
9,True,916,101.778,184.9
10,True,666,74.0,184.9
11,True,1177,130.778,189.2
12,True,531,59.0,184.1
13,True,918,102.0,181.3
14,True,834,92.667,181.6
15,True,645,71.667,185.0
16,True,947,105.222,182.0
17,True,858,95.333,188.0
18,True,1160,128.889,190.4
19,True,523,58.111,181.4
20,True,536,59.556,200.4
21,True,1036,115.111,186.1
22,True,1678,186.444,180.8
23,True,658,73.111,181.4
24,True,1917,213.0,181.6
25,True,503,55.889,181.3
26,True,322,35.778,181.8
27,True,147,16.333,184.7
28,True,800,88.889,181.6
29,True,650,72.222,180.1
30,True,668,74.222,180.2
31,True,384,42.667,182.3
32,True,761,84.556,182.9
33,True,1764,196.0,187.4
34,True,1307,145.222,182.6
35,True,635,70.556,180.0
36,True,636,70.667,181.5
37,True,787,87.444,185.2
38,True,1114,123.778,182.0
39,True,637,70.778,187.1
40,True,476,52.889,186.5
41,True,725,80.556,180.3
42,True,760,84.444,182.7
43,True,569,63.222,195.9
44,True,643,71.444,180.1
45,True,737,81.889,180.1
46,True,1280,142.222,192.1
47,True,546,60.667,184.2
48,True,776,86.222,181.3
49,True,747,83.0,185.8
50,True,388,43.111,185.3
51,True,608,67.556,188.3
52,True,1132,125.778,180.2
53,True,774,86.0,183.6
54,True,1033,114.778,187.7
55,True,452,50.222,184.9
56,True,861,95.667,181.1
57,True,758,84.222,189.0
58,True,1010,112.222,188.4
59,True,661,73.444,181.3
60,True,1050,116.667,185.2
61,True,736,81.778,182.2
62,True,1237,137.444,182.9
63,True,386,42.889,183.2
64,True,786,87.333,189.2
65,True,538,59.778,180.9
66,True,1030,114.444,182.2
67,True,544,60.444,180.2
68,True,425,47.222,182.8
69,True,954,106.0,183.7
70,True,268,29.778,180.6
71,True,309,34.333,188.1
72,True,279,31.0,180.3
73,True,1045,116.111,192.0
74,True,554,61.556,182.5
75,True,867,96.333,181.9
76,True,120,13.333,182.7
77,True,427,47.444,183.9
78,True,859,95.444,180.4
79,True,993,110.333,180.6
80,True,380,42.222,194.3
81,True,676,75.111,187.8
82,True,337,37.444,184.7
83,True,237,26.333,180.3
84,True,480,53.333,186.4
85,True,1115,123.889,181.7
86,True,489,54.333,184.1
87,True,325,36.111,189.8
88,True,1125,125.0,184.7
89,True,1152,128.0,180.8
90,True,924,102.667,190.6
91,True,799,88.778,180.6
92,True,883,98.111,181.8
93,True,1099,122.111,182.1
94,True,1552,172.444,184.0
95,True,872,96.889,182.4
96,True,391,43.444,180.4
97,True,1005,111.667,180.1
98,True,432,48.0,180.8
99,True,313,34.778,191.4
100,True,437,48.556,183.6
101,True,448,49.778,183.1
102,True,798,88.667,192.3
103,True,952,105.778,189.7
104,True,1024,113.778,184.3
105,True,547,60.778,189.8
106,True,1087,120.778,185.8
107,True,603,67.0,181.5
108,True,438,48.667,183.4
109,True,667,74.111,184.0
110,True,828,92.0,183.4
111,True,306,34.0,182.3
112,True,935,103.889,188.5
113,True,524,58.222,181.8
114,True,549,61.0,181.4
115,True,542,60.222,180.2
116,True,651,72.333,186.4
117,True,573,63.667,181.9
118,True,553,61.444,180.2
119,True,377,41.889,180.2
120,True,554,61.556,183.6
121,True,335,37.222,185.6
122,True,1526,169.556,183.4
123,True,185,20.556,184.7
124,True,300,33.333,182.3
125,True,256,28.444,180.5
126,True,496,55.111,181.5
127,True,563,62.556,180.2
128,True,921,102.333,183.9
129,True,517,57.444,180.9
130,True,398,44.222,181.0
131,True,646,71.778,188.0
132,True,232,25.778,181.5
133,True,211,23.444,182.9
134,True,448,49.778,181.4
135,True,1212,134.667,182.3
136,True,535,59.444,181.6
137,True,519,57.667,186.5
138,True,587,65.222,180.2
139,True,1010,112.222,181.1
140,True,1070,118.889,184.0
141,True,1155,128.333,180.4
142,True,1575,175.0,193.8
143,True,758,84.222,183.6
144,True,221,24.556,180.9
145,True,961,106.778,185.8
146,True,945,105.0,182.8
147,True,706,78.444,195.1
148,True,935,103.889,182.0
149,True,369,41.0,182.8
150,True,1567,174.111,180.9
151,True,390,43.333,181.7
152,True,577,64.111,185.9
153,True,618,68.667,196.7
154,True,565,62.778,191.1
155,True,506,56.222,184.4
156,True,758,84.222,183.0
157,True,960,106.667,182.4
158,True,600,66.667,183.0
159,True,340,37.778,181.1
160,True,504,56.0,182.8
161,True,232,25.778,183.3
162,True,958,106.444,184.2
163,True,376,41.778,184.9
164,True,501,55.667,183.6
165,True,1401,155.667,182.9
166,True,512,56.889,187.7
167,True,612,68.0,182.4
168,True,1100,122.222,181.9
169,True,307,34.111,182.2
170,True,1414,157.111,184.5
171,True,756,84.0,180.7
172,True,1132,125.778,182.7
173,True,296,32.889,180.4
174,True,489,54.333,191.4
175,True,805,89.444,186.3
176,True,565,62.778,182.2
177,True,947,105.222,188.0
178,True,612,68.0,182.2
179,True,419,46.556,181.4
180,True,432,48.0,180.1
181,True,583,64.778,180.4
182,True,1157,128.556,196.0
183,True,819,91.0,181.7
184,True,2126,236.222,181.6
185,True,1048,116.444,183.9
186,True,1432,159.111,183.1
187,True,481,53.444,183.6
188,True,645,71.667,193.5
189,True,409,45.444,184.0
190,True,1005,111.667,180.8
191,True,303,33.667,180.3
192,True,653,72.556,182.7
193,True,649,72.111,181.9
194,True,1433,159.222,183.4
195,True,306,34.0,187.5
196,True,799,88.778,180.9
197,True,625,69.444,190.6
198,True,415,46.111,189.1
199,True,689,76.556,194.2
200,True,427,47.444,180.7
201,True,1110,123.333,180.9
202,True,868,96.444,187.2
203,True,391,43.444,181.1
204,True,348,38.667,180.9
205,True,826,91.778,180.2
206,True,1059,117.667,180.6
207,True,391,43.444,181.5
208,True,942,104.667,187.9
209,True,486,54.0,185.8
210,True,500,55.556,184.1
211,True,575,63.889,184.4
212,True,900,100.0,181.6
213,True,600,66.667,182.8
214,True,495,55.0,180.5
215,True,1110,123.333,182.6
216,True,443,49.222,185.4
217,True,1036,115.111,182.8
218,True,449,49.889,180.7
219,True,915,101.667,183.2
220,True,922,102.444,181.0
221,True,824,91.556,188.0
222,True,1013,112.556,190.5
223,True,629,69.889,186.3
224,True,381,42.333,181.5
225,True,1075,119.444,186.9
226,True,484,53.778,180.2
227,True,949,105.444,185.8
228,True,529,58.778,184.9
229,True,1672,185.778,186.6
230,True,984,109.333,188.9
231,True,902,100.222,183.9
232,True,305,33.889,180.4
233,True,499,55.444,182.2
234,True,316,35.111,181.0
235,True,759,84.333,181.9
236,True,626,69.556,180.3
237,True,357,39.667,197.3
238,True,789,87.667,180.2
239,True,740,82.222,182.9
240,True,587,65.222,182.5
241,True,901,100.111,181.1
242,True,599,66.556,184.5
243,True,577,64.111,182.7
244,True,697,77.444,190.0
245,True,796,88.444,186.3
246,True,963,107.0,180.1
247,True,306,34.0,192.9
248,True,659,73.222,189.3
249,True,650,72.222,182.0
250,True,1686,187.333,184.2
251,True,636,70.667,181.0
252,True,568,63.111,182.7
253,True,772,85.778,185.1
254,True,1110,123.333,189.1
255,True,479,53.222,180.8
256,True,610,67.778,180.3
257,True,706,78.444,182.8
258,True,523,58.111,186.7
259,True,671,74.556,181.3
260,True,308,34.222,184.2
261,True,1539,171.0,181.0
262,True,458,50.889,182.1
263,True,459,51.0,184.7
264,True,1336,148.444,184.4
265,True,338,37.556,181.8
266,True,580,64.444,188.2
267,True,676,75.111,206.2
268,True,514,57.111,180.9
269,True,177,19.667,183.4
270,True,810,90.0,188.9
271,True,367,40.778,181.0
272,True,768,85.333,181.7
273,True,950,105.556,181.6
274,True,1005,111.667,180.0
275,True,971,107.889,181.0
276,True,674,74.889,181.1
277,True,139,15.444,180.7
278,True,623,69.222,184.5
279,True,980,108.889,180.4
280,True,940,104.444,183.2
281,True,363,40.333,181.8
282,True,825,91.667,180.6
283,True,1726,191.778,182.6
284,True,297,33.0,180.9
285,True,746,82.889,185.0
286,True,601,66.778,181.9
287,True,485,53.889,197.4
288,True,762,84.667,182.0
289,True,553,61.444,185.1
290,True,558,62.0,181.7
291,True,754,83.778,191.9
292,True,944,104.889,183.3
293,True,1768,196.444,182.1
294,True,485,53.889,180.6
295,True,484,53.778,183.0
296,True,840,93.333,186.4
297,True,263,29.222,183.4
298,True,590,65.556,180.5
299,True,772,85.778,200.0
300,True,597,66.333,187.6
301,True,670,74.444,189.1
302,True,1102,122.444,182.9
303,True,494,54.889,180.5
304,True,2268,252.0,183.5
305,True,1004,111.556,182.6
306,True,1019,113.222,186.7
307,True,969,107.667,181.0
308,True,292,32.444,188.6
309,True,424,47.111,184.5
310,True,437,48.556,183.2
311,True,1237,137.444,180.1
312,True,938,104.222,187.8
313,True,722,80.222,182.8
314,True,892,99.111,183.4
315,True,974,108.222,182.9
316,True,714,79.333,186.8
317,True,913,101.444,185.7
318,True,521,57.889,185.4
319,True,466,51.778,180.6
320,True,1331,147.889,181.6
321,True,741,82.333,186.0
322,True,197,21.889,199.3
323,True,1356,150.667,182.9
324,True,985,109.444,186.7
325,True,285,31.667,180.9
326,True,642,71.333,180.2
327,True,877,97.444,185.2
328,True,1708,189.778,184.7
329,True,1619,179.889,185.8
330,True,713,79.222,185.4
331,True,348,38.667,182.3
332,True,802,89.111,180.7
333,True,474,52.667,182.9
334,True,955,106.111,181.1
335,True,697,77.444,184.2
336,True,349,38.778,181.1
337,True,361,40.111,182.2
338,True,641,71.222,190.8
339,True,1009,112.111,192.0
340,True,883,98.111,180.2
341,True,1238,137.556,180.5
342,True,182,20.222,186.2
343,True,508,56.444,185.5
344,True,1215,135.0,180.1
345,True,728,80.889,185.1
346,True,1470,163.333,183.9
347,True,328,36.444,182.4
348,True,765,85.0,181.4
349,True,244,27.111,181.8
350,True,1250,138.889,181.8
351,True,924,102.667,181.6
352,True,908,100.889,186.2
353,True,727,80.778,185.9
354,True,563,62.556,182.9
355,True,264,29.333,180.5
356,True,601,66.778,183.0
357,True,462,51.333,186.1
358,True,734,81.556,183.5
359,True,539,59.889,181.3
360,True,1378,153.111,180.1
361,True,845,93.889,186.2
362,True,1455,161.667,182.1
363,True,1171,130.111,180.4
364,True,496,55.111,181.1
365,True,278,30.889,203.2
366,True,687,76.333,188.8
367,True,975,108.333,188.5
368,True,175,19.444,183.7
369,True,405,45.0,180.8
370,True,1765,196.111,184.5
371,True,1568,174.222,186.0
372,True,1037,115.222,183.0
373,True,935,103.889,182.2
374,True,567,63.0,183.0
375,True,1013,112.556,180.3
376,True,833,92.556,186.3
377,True,492,54.667,180.2
378,True,508,56.444,183.6
379,True,1385,153.889,181.5
380,True,405,45.0,189.7
381,True,544,60.444,180.0
382,True,421,46.778,182.2
383,True,503,55.889,188.3
384,True,469,52.111,185.7
385,True,480,53.333,180.9
386,True,805,89.444,189.9
387,True,600,66.667,185.9
388,True,482,53.556,182.5
389,True,1296,144.0,184.0
390,True,1322,146.889,180.8
391,True,925,102.778,186.3
392,True,859,95.444,189.5
393,True,1420,157.778,197.8
394,True,1288,143.111,188.2
395,True,747,83.0,185.7
396,True,547,60.778,187.9
397,True,973,108.111,183.3
398,True,327,36.333,185.9
399,True,592,65.778,186.4
400,True,778,86.444,183.2
401,True,926,102.889,181.0
402,True,544,60.444,182.9
403,True,858,95.333,186.4
404,True,539,59.889,184.5
405,True,619,68.778,180.3
406,True,876,97.333,187.9
407,True,367,40.778,180.6
408,True,1068,118.667,188.6
409,True,498,55.333,183.0
410,True,482,53.556,181.4
411,True,643,71.444,186.8
412,True,509,56.556,180.9
413,True,404,44.889,182.0
414,True,1140,126.667,186.9
415,True,746,82.889,180.6
416,True,1289,143.222,181.8
417,True,637,70.778,187.9
418,True,694,77.111,180.2
419,True,545,60.556,187.9
420,True,378,42.0,180.9
421,True,573,63.667,185.5
422,True,130,14.444,182.7
423,True,693,77.0,184.7
424,True,670,74.444,181.4
425,True,732,81.333,180.2
426,True,760,84.444,185.2
427,True,807,89.667,186.5
428,True,1395,155.0,182.9
429,True,683,75.889,180.7
430,True,1168,129.778,182.5
431,True,892,99.111,187.1
432,True,997,110.778,183.1
433,True,635,70.556,184.1
434,True,349,38.778,184.3
435,True,642,71.333,182.0
436,True,613,68.111,189.4
437,True,605,67.222,180.4
438,True,1045,116.111,182.0
439,True,524,58.222,183.2
440,True,677,75.222,185.8
441,True,708,78.667,183.0
442,True,464,51.556,180.2
443,True,324,36.0,184.1
444,True,484,53.778,185.3
445,True,392,43.556,180.9
446,True,416,46.222,182.9
447,True,910,101.111,182.0
448,True,526,58.444,184.6
449,True,614,68.222,182.0
450,True,301,33.444,183.5
451,True,708,78.667,190.7
452,True,487,54.111,186.0
453,True,701,77.889,184.3
454,True,1128,125.333,187.4
455,True,716,79.556,180.3
456,True,641,71.222,180.4
457,True,1117,124.111,188.6
458,True,1114,123.778,184.6
459,True,1284,142.667,181.0
460,True,756,84.0,182.0
461,True,1574,174.889,187.7
462,True,672,74.667,194.3
463,True,1012,112.444,180.6
464,True,1045,116.111,182.5
465,True,716,79.556,180.8
466,True,728,80.889,186.1
467,True,794,88.222,188.2
468,True,180,20.0,188.0
469,True,585,65.0,181.0
470,True,993,110.333,180.2
471,True,1772,196.889,183.5
472,True,1307,145.222,180.9
473,True,377,41.889,187.9
474,True,1747,194.111,180.9
475,True,1221,135.667,182.0
476,True,476,52.889,181.4
477,True,1306,145.111,188.5
478,True,680,75.556,184.1
479,True,466,51.778,186.5
480,True,1288,143.111,183.3
481,True,781,86.778,187.5
482,True,958,106.444,194.9
483,True,500,55.556,180.1
484,True,147,16.333,183.5
485,True,701,77.889,181.3
486,True,879,97.667,186.8
487,True,821,91.222,182.2
488,True,478,53.111,181.9
489,True,380,42.222,181.8
490,True,1533,170.333,181.4
491,True,924,102.667,184.4
492,True,327,36.333,182.7
493,True,559,62.111,180.0
494,True,322,35.778,184.7
495,True,366,40.667,184.2
496,True,460,51.111,182.4
497,True,639,71.0,181.3
498,True,632,70.222,189.4
499,True,866,96.222,183.2
500,True,1289,143.222,181.0
501,True,1319,146.556,184.7
502,True,1404,156.0,194.2
503,True,875,97.222,180.4
504,True,720,80.0,182.0
505,True,1498,166.444,187.6
506,True,306,34.0,181.7
507,True,912,101.333,180.4
508,True,145,16.111,188.4
509,True,1355,150.556,182.0
510,True,508,56.444,183.1
511,True,671,74.556,186.9
512,True,1495,166.111,182.1
513,True,1059,117.667,180.8
514,True,417,46.333,180.3
515,True,837,93.0,183.1
516,True,1260,140.0,189.1
517,True,707,78.556,190.3
518,True,819,91.0,187.4
519,True,937,104.111,184.3
520,True,518,57.556,188.7
521,True,560,62.222,182.5
522,True,612,68.0,181.9
523,True,417,46.333,184.1
524,True,908,100.889,180.7
525,True,784,87.111,180.6
526,True,534,59.333,184.4
527,True,369,41.0,183.0
528,True,285,31.667,190.5
529,True,377,41.889,182.5
530,True,1093,121.444,182.0
531,True,634,70.444,187.6
532,True,666,74.0,182.6
533,True,377,41.889,187.3
534,True,855,95.0,185.4
535,True,954,106.0,185.6
536,True,394,43.778,180.9
537,True,530,58.889,182.1
538,True,367,40.778,185.1
539,True,485,53.889,191.4
540,True,600,66.667,181.6
541,True,802,89.111,182.4
542,True,454,50.444,184.4
543,True,307,34.111,183.8
544,True,535,59.444,182.0
545,True,174,19.333,181.0
546,True,765,85.0,191.0
547,True,368,40.889,181.5
548,True,304,33.778,180.4
549,True,525,58.333,181.4
550,True,917,101.889,184.5
551,True,681,75.667,183.1
552,True,816,90.667,188.2
553,True,1715,190.556,182.3
554,True,863,95.889,182.1
555,True,1165,129.444,183.8
556,True,743,82.556,183.2
557,True,397,44.111,181.2
558,True,450,50.0,183.3
559,True,459,51.0,182.7
560,True,525,58.333,180.1
561,True,996,110.667,181.4
562,True,969,107.667,187.3
563,True,220,24.444,191.7
564,True,642,71.333,185.4
565,True,403,44.778,180.5
566,True,698,77.556,180.5
567,True,544,60.444,181.6
568,True,1163,129.222,186.1
569,True,1520,168.889,187.9
570,True,586,65.111,187.8
571,True,869,96.556,183.6
572,True,855,95.0,182.9
573,True,911,101.222,182.4
574,True,489,54.333,180.2
575,True,479,53.222,191.3
576,True,332,36.889,190.8
577,True,647,71.889,184.8
578,True,274,30.444,182.9
579,True,612,68.0,180.8
580,True,212,23.556,185.0
581,True,705,78.333,185.7
582,True,344,38.222,184.6
583,True,795,88.333,186.4
584,True,703,78.111,190.5
585,True,369,41.0,185.0
586,True,373,41.444,183.0
587,True,934,103.778,182.1
588,True,616,68.444,182.5
589,True,802,89.111,183.5
590,True,844,93.778,180.0
591,True,491,54.556,182.3
592,True,767,85.222,182.1
593,True,275,30.556,185.1
594,True,344,38.222,180.4
595,True,608,67.556,191.6
596,True,1290,143.333,190.3
597,True,985,109.444,181.8
598,True,677,75.222,181.1
